time,open,high,low,close,volume
1771963200,6193543.5,6199074.5,6193543.5,6199074.5,0.0008
1771966800,6162132.0,6162132.0,6150443.0,6150443.0,0.0017
1771970400,6151216.5,6151216.5,6151216.5,6151216.5,0.0016
1771974000,6146195.5,6166051.5,6146195.5,6166051.5,0.002
1771977600,6133843.0,6166378.0,6133843.0,6166378.0,0.0023
1771981200,6179365.0,6344751.5,6179365.0,6330439.0,0.0102
1771984800,6336406.0,6347699.0,6321595.0,6323007.5,0.0123
1771988400,6315253.0,6315302.5,6273122.5,6273122.5,0.0078
1771992000,6266204.5,6285484.5,6266204.5,6281133.0,0.0019
1771995600,6273729.5,6273909.5,6230659.0,6230659.0,0.0021
1771999200,6223263.5,6237007.5,6217853.5,6217853.5,0.0126
1772002800,6223437.5,6242556.0,6223437.5,6229956.0,0.0021
1772006400,6227340.0,6272190.5,6227340.0,6272190.5,0.0045
1772010000,6269290.0,6272112.5,6255059.5,6269096.0,0.0029
1772013600,6273680.5,6273680.5,6264915.0,6267790.5,0.0089
1772017200,6249331.5,6261586.5,6248190.5,6261586.5,0.0047
1772020800,6254565.0,6323401.5,6254565.0,6323401.5,0.0042
1772024400,6318417.0,6359958.0,6318417.0,6336680.0,0.028
1772028000,6338172.5,6401566.5,6333112.0,6401566.5,0.0135999999999999
1772031600,6409945.5,6459383.5,6387684.0,6445613.0,0.3026
1772035200,6444957.5,6502745.5,6444957.5,6502128.5,0.0894
1772038800,6502389.0,6573252.0,6498462.0,6566859.5,0.0963
1772042400,6552383.0,6645144.5,6552383.0,6625159.5,0.0363
1772046000,6593901.5,6601949.5,6580047.5,6589671.0,0.0049
1772049600,6584690.5,6584690.5,6584690.5,6584690.5,0.0001
1772053200,6585101.5,6611447.0,6585101.5,6611447.0,0.0002
1772056800,6568337.0,6568337.0,6529014.5,6529014.5,0.0012
1772060400,6502442.0,6502442.0,6463927.0,6463927.0,0.0003
1772064000,6464558.0,6504856.5,6464558.0,6504856.5,0.0025
1772067600,6511733.0,6527772.0,6511733.0,6517675.0,0.002
1772071200,6482732.0,6505004.5,6478797.5,6505004.5,0.002
1772074800,6498629.5,6515290.5,6498629.5,6507379.0,0.0013
1772078400,6517066.5,6568446.5,6517066.5,6550917.0,0.0163
1772082000,6513585.0,6533309.0,6513585.0,6533309.0,0.0046
1772085600,6528523.5,6528523.5,6503550.0,6503550.0,0.0025
1772089200,6509319.0,6509319.0,6466947.0,6466947.0,0.0029
1772092800,6461377.0,6475234.5,6458743.0,6464353.0,0.014
1772096400,6483865.0,6539052.5,6483865.0,6535270.5,0.0045
1772100000,6508852.0,6508852.0,6481606.5,6481606.5,0.0092
1772103600,6488008.5,6490377.0,6476123.5,6476123.5,0.004
1772107200,6464728.5,6464728.5,6452029.5,6452029.5,0.0069
1772110800,6453218.0,6456136.5,6437439.5,6447791.5,0.0019999999999999
1772114400,6424776.5,6456771.5,6380048.0,6409798.0,0.0032
1772118000,6403110.5,6403110.5,6338520.0,6389446.0,0.0375
1772121600,6397510.5,6405421.0,6343238.0,6346870.0,0.0233999999999999
1772125200,6346651.0,6373378.0,6346651.0,6360789.5,0.0253
1772128800,6364483.5,6391374.5,6358669.5,6391374.5,0.0051
1772132400,6451671.5,6451671.5,6414247.5,6415727.5,0.003
1772136000,6437509.0,6441434.0,6407062.0,6410243.5,0.001
1772139600,6391991.0,6391991.0,6391991.0,6391991.0,0.0001
1772143200,6409707.0,6422156.0,6409707.0,6417891.0,0.0010999999999999
1772146800,6407468.0,6416479.0,6406145.0,6406145.0,0.0007999999999999
1772150400,6388701.5,6388701.5,6388701.5,6388701.5,0.0003
1772154000,6374929.0,6393747.0,6374929.0,6393747.0,0.0003
1772157600,6398848.5,6413777.0,6398848.5,6402842.5,0.0073999999999999
1772161200,6386190.0,6425848.5,6386190.0,6425848.5,0.0028
1772164800,6443107.0,6465628.0,6423299.5,6423307.0,0.0043
1772168400,6429873.0,6435422.0,6420992.0,6427916.0,0.0075
1772172000,6427499.0,6441087.5,6419524.0,6428957.5,0.0041
1772175600,6431686.0,6431686.0,6416047.0,6423493.0,0.012
1772179200,6433448.5,6459386.0,6433448.5,6454991.0,0.0092
1772182800,6452075.0,6469419.0,6391932.0,6396384.0,0.007
1772186400,6379560.5,6379560.5,6330582.0,6338337.5,0.0078
1772190000,6328743.0,6328743.0,6262198.5,6262198.5,0.0016
1772193600,6262524.0,6263894.5,6237445.5,6242293.5,0.012
1772197200,6263155.5,6268159.5,6222346.0,6268159.5,0.0015999999999999
1772200800,6274055.5,6281926.0,6229583.5,6235491.5,0.0021
1772204400,6245880.0,6266236.0,6240708.0,6259325.5,0.009
1772208000,6257142.5,6257142.5,6204980.5,6211504.5,0.004
1772211600,6217750.5,6218283.0,6178953.5,6218283.0,0.0171
1772215200,6237640.0,6237640.0,6206466.0,6218042.5,0.0127999999999999
1772218800,6196368.5,6202331.0,6185382.5,6189366.5,0.018
1772222400,6212629.5,6227240.0,6212629.5,6226041.5,0.0052
1772226000,6226041.5,6226041.5,6226041.5,6226041.5,0.0
1772229600,6224140.0,6236078.5,6221594.0,6236078.5,0.0152
1772233200,6246614.0,6246614.0,6245564.0,6245564.0,0.003
1772236800,6252166.0,6262830.0,6252166.0,6262830.0,0.007
1772240400,6249722.5,6252536.5,6245242.0,6245242.0,0.0066999999999999
1772244000,6248263.0,6267681.0,6248263.0,6267681.0,0.0148
1772247600,6262302.5,6262302.5,6250209.5,6250209.5,0.0118
1772251200,6251447.5,6252753.5,6229482.5,6237630.5,0.0339
1772254800,6230604.0,6237500.0,6224079.5,6224079.5,0.0033
1772258400,6228187.5,6230391.0,6042682.5,6060142.0,0.2211
1772262000,6073085.0,6146782.5,6073085.0,6120073.0,0.0237
1772265600,6104423.0,6116376.0,6067628.0,6073934.0,0.0119
1772269200,6085202.0,6119394.0,6081310.0,6103744.5,0.1181
1772272800,6086513.0,6134596.0,6086513.0,6134596.0,0.0037
1772276400,6138147.5,6152106.0,6101943.5,6101943.5,0.0138
1772280000,6109734.0,6123021.0,6109452.0,6117565.0,0.0271
1772283600,6113922.5,6213929.5,6108472.0,6213929.5,0.0065
1772287200,6224862.5,6224862.5,6129985.0,6129985.0,0.0228
1772290800,6148896.0,6174361.5,6133003.0,6174022.5,0.0066
1772294400,6165867.0,6212616.0,6165867.0,6212616.0,0.0051
1772298000,6205972.0,6208329.0,6194305.5,6203221.0,0.0098999999999999
1772301600,6219652.5,6262841.0,6210095.5,6262841.0,0.0329
1772305200,6267930.0,6308636.5,6245041.0,6308636.5,0.0015
1772308800,6298755.5,6377046.5,6298755.5,6368141.0,0.0156
1772312400,6327904.5,6340664.0,6327384.0,6329508.5,0.0094
1772316000,6434699.0,6434699.0,6402191.5,6402191.5,0.0009
1772319600,6394628.5,6394628.5,6368884.5,6371324.0,0.0032
1772323200,6360243.0,6363392.5,6356543.5,6360843.0,0.0058
1772326800,6350655.0,6429521.5,6306992.0,6427247.0,0.014
1772330400,6473716.0,6480842.5,6447889.5,6457873.5,0.0063
1772334000,6449913.5,6457681.5,6424060.0,6429809.0,0.0127
1772337600,6432884.0,6433127.5,6394061.5,6403368.0,0.0172
1772341200,6407695.5,6420045.0,6402033.5,6402033.5,0.0139
1772344800,6381225.0,6381225.0,6358054.5,6362959.5,0.0287999999999999
1772348400,6369950.5,6375616.5,6369950.5,6374859.0,0.0005
1772352000,6364876.0,6386548.0,6352132.5,6352132.5,0.0012
1772355600,6309401.0,6320231.5,6284328.5,6291737.5,0.0063
1772359200,6290867.0,6320413.0,6287659.5,6291254.0,0.0169
1772362800,6293256.0,6300515.5,6293256.0,6300515.5,0.0004
1772366400,6302411.5,6302411.5,6271590.5,6271590.5,0.0066999999999999
1772370000,6269667.5,6275405.0,6257633.5,6272816.0,0.0078
1772373600,6328888.0,6348985.5,6313533.5,6314452.5,0.0091
1772377200,6326015.0,6348744.0,6318743.0,6318743.0,0.0038
1772380800,6313830.0,6329265.0,6225813.0,6236335.5,0.0088
1772384400,6238083.5,6248633.0,6215196.0,6225198.0,0.0158999999999999
1772388000,6228154.5,6270502.0,6228154.5,6259402.5,0.0222
1772391600,6259402.5,6259402.5,6259402.5,6259402.5,0.0
1772395200,6174487.0,6174487.0,6174487.0,6174487.0,0.0001
1772398800,6177502.0,6197272.5,6177502.0,6197272.5,0.0009
1772402400,6228003.5,6231308.5,6158717.0,6158717.0,0.0018
1772406000,6186987.0,6209955.5,6186987.0,6209955.5,0.0036
1772409600,6272208.0,6272208.0,6272208.0,6272208.0,0.0002
1772413200,6278111.5,6313602.5,6267220.5,6275126.0,0.0033
1772416800,6275128.5,6275128.5,6233804.5,6246361.5,0.0018
1772420400,6235534.5,6310838.5,6235534.5,6310838.5,0.0044
1772424000,6296816.0,6311050.0,6288581.0,6291388.5,0.0055
1772427600,6280011.0,6293563.0,6277113.5,6292381.5,0.0032
1772431200,6224664.5,6241150.0,6220074.0,6229440.0,0.0035
1772434800,6215786.0,6220765.5,6184998.5,6212967.5,0.0126
1772438400,6215397.0,6229855.0,6189656.5,6229855.0,0.0011
