time,open,high,low,close,volume
1771963200,178120.5,178478.5,178084.5,178478.5,0.039
1771966800,177883.0,177883.0,177504.0,177720.0,0.01
1771970400,178494.5,178494.5,178494.5,178494.5,0.003
1771974000,178153.5,178153.5,177796.5,177796.5,0.03
1771977600,177582.5,178058.0,177184.5,177802.0,0.033
1771981200,183380.0,184075.5,182562.5,184075.5,0.097
1771984800,184304.0,185423.0,184015.5,184450.0,0.589
1771988400,184097.5,184144.5,182711.0,182711.0,0.22300000000000003
1771992000,182813.5,183408.5,182378.5,182692.0,0.757
1771995600,182568.5,182726.5,180653.0,181130.0,0.183
1771999200,181152.5,181550.5,180582.5,180593.5,2.045
1772002800,180393.0,181395.5,180380.0,181245.0,0.254
1772006400,181483.5,182907.0,181069.5,182907.0,0.681
1772010000,182879.5,183091.5,182487.0,183091.5,0.261
1772013600,183327.0,183361.5,182990.5,183348.5,0.257
1772017200,182978.5,184130.5,182919.5,184049.5,0.15100000000000002
1772020800,184280.0,186677.0,184235.5,186468.0,0.5800000000000001
1772024400,187054.5,188391.0,186750.0,187960.5,0.622
1772028000,188121.0,190669.0,188121.0,190654.5,3.745
1772031600,190976.5,193449.0,190185.5,192128.5,0.458
1772035200,192561.5,195682.0,192561.5,195682.0,5.586
1772038800,195236.5,198719.5,194947.0,197907.5,2.487
1772042400,197642.5,198324.0,197063.5,198324.0,0.29200000000000004
1772046000,198245.5,198245.5,197236.5,197716.0,0.02
1772049600,197791.0,197791.0,197316.5,197701.0,0.015
1772053200,198076.5,200714.5,197598.5,199950.0,0.14500000000000002
1772056800,201457.5,201518.5,198157.5,198373.0,0.307
1772060400,198319.5,198994.5,196688.5,196688.5,0.011
1772064000,195870.5,197885.5,195457.0,196638.0,0.28900000000000003
1772067600,196712.5,197139.0,196053.0,196621.0,0.45699999999999996
1772071200,195255.0,195883.5,194876.0,195883.5,0.12000000000000001
1772074800,195668.5,196360.5,195456.5,196087.0,0.069
1772078400,196293.0,198548.0,196247.5,198036.5,0.35500000000000004
1772082000,196891.0,197561.0,196435.0,197561.0,0.352
1772085600,196989.5,198175.0,196454.5,196832.5,0.15000000000000002
1772089200,196744.0,197068.5,195761.5,195761.5,0.06000000000000001
1772092800,195619.0,195619.0,194230.0,195205.5,0.164
1772096400,195702.0,197854.0,195633.5,197788.0,0.211
1772100000,197892.5,197977.0,195944.0,195944.0,0.639
1772103600,196040.0,196137.5,195083.5,195113.0,0.292
1772107200,195863.5,195929.0,195530.5,195929.0,0.059
1772110800,195920.5,195929.0,195272.0,195441.5,0.632
1772114400,195256.5,196665.0,192939.0,194230.5,0.10700000000000001
1772118000,193943.0,194284.0,191004.5,192514.0,1.5770000000000002
1772121600,193263.0,193361.5,188570.5,188693.0,1.2399999999999998
1772125200,188938.5,189969.5,188908.0,189547.0,0.5650000000000001
1772128800,189713.0,190698.5,188920.0,190652.0,0.24400000000000002
1772132400,191038.0,193097.0,191038.0,192656.5,0.061
1772136000,193895.0,193895.0,192350.5,192479.5,0.30000000000000004
1772139600,193393.5,193393.5,193393.5,193393.5,0.005
1772143200,192785.0,193055.5,192785.0,193055.5,0.157
1772146800,192518.5,192821.0,192518.5,192563.5,0.033
1772150400,192458.5,192779.5,191446.5,191446.5,0.075
1772154000,190663.5,191526.0,190663.5,191526.0,0.003
1772157600,192629.0,193013.5,192169.5,192678.5,0.061
1772161200,192572.0,192829.0,192076.5,192829.0,0.057
1772164800,195291.5,195599.5,193634.5,193634.5,0.223
1772168400,193961.0,194279.5,193565.5,193971.5,0.019000000000000003
1772172000,193700.0,193700.0,192886.0,193518.0,0.163
1772175600,193083.0,193737.0,192853.5,192988.5,0.077
1772179200,194100.5,194100.5,192975.0,193129.0,0.251
1772182800,193046.0,193717.0,191009.0,191025.0,1.255
1772186400,190802.0,190804.5,187862.5,187862.5,0.255
1772190000,187876.5,188041.5,185467.0,185740.0,0.443
1772193600,185963.5,186343.0,185679.5,185679.5,1.849
1772197200,186088.5,186088.5,184091.5,185727.0,1.1
1772200800,185539.5,185692.5,183799.0,183980.5,0.24300000000000002
1772204400,184227.5,185154.5,184193.0,184544.5,0.03899999999999999
1772208000,184511.0,184511.0,182653.5,182867.0,0.35900000000000004
1772211600,182908.0,183184.0,180990.5,182691.0,0.321
1772215200,183108.5,183108.5,181695.5,181695.5,0.133
1772218800,182081.0,182334.5,181420.0,182287.0,0.5830000000000001
1772222400,182562.0,182627.5,182299.0,182627.5,0.037000000000000005
1772226000,183046.0,183439.0,182817.5,182817.5,0.171
1772229600,182231.5,182798.0,181410.0,182517.5,0.12000000000000001
1772233200,183456.0,183456.0,183322.0,183322.0,0.11299999999999999
1772236800,183233.5,183511.5,183049.0,183511.5,0.041999999999999996
1772240400,183543.5,183543.5,182602.0,182993.5,0.035
1772244000,182936.5,183279.0,182936.5,183279.0,0.022
1772247600,183209.0,183209.0,182764.5,182934.5,0.091
1772251200,182898.5,183209.5,182781.0,182824.5,0.048
1772254800,182723.0,183025.0,182228.0,182366.0,0.166
1772258400,182454.5,182454.5,175969.5,176752.5,4.566
1772262000,176415.0,180775.0,176415.0,178969.0,4.438000000000001
1772265600,178546.5,178546.5,177069.5,177365.5,2.476
1772269200,177585.0,178388.5,177125.0,177965.0,0.902
1772272800,177558.0,178766.5,177372.0,178766.5,2.049
1772276400,179575.0,179672.0,178211.0,178211.0,0.904
1772280000,178368.0,178905.5,178284.5,178307.5,0.956
1772283600,178371.5,181397.5,178371.5,181017.5,0.567
1772287200,182606.0,182606.0,179918.5,179918.5,0.885
1772290800,179541.0,181026.5,179292.0,180758.5,0.36800000000000005
1772294400,180688.0,181910.0,180688.0,181643.5,0.36
1772298000,181603.5,181616.5,180795.0,181257.5,0.047
1772301600,181504.5,184239.5,181331.5,184239.0,1.8
1772305200,184052.0,185518.0,182996.0,185475.0,0.388
1772308800,185642.5,187276.0,185642.5,187261.0,1.049
1772312400,186007.5,186218.5,185456.0,185745.5,0.1
1772316000,186973.5,188339.0,186973.5,187295.0,0.117
1772319600,187165.0,187165.0,186660.5,186834.0,0.096
1772323200,186738.5,186918.0,186385.0,186918.0,0.023
1772326800,186391.0,191139.5,185352.5,190896.0,0.56
1772330400,193716.5,195245.5,193435.0,194336.5,0.29700000000000004
1772334000,194085.5,194141.5,192294.5,192294.5,0.43000000000000005
1772337600,192933.0,193091.0,191125.0,191802.0,1.3119999999999998
1772341200,191873.5,192024.0,191217.5,191406.5,0.39
1772344800,191198.0,191250.5,189225.5,189641.5,1.405
1772348400,189899.0,190545.5,189876.0,190545.5,2.896
1772352000,190563.0,190624.5,188276.0,188449.5,0.8109999999999999
1772355600,188414.5,188961.5,187402.5,187694.5,0.3430000000000001
1772359200,187807.0,188553.5,187265.5,187733.5,0.391
1772362800,188075.5,188290.5,187984.5,188030.5,0.024
1772366400,187687.5,188239.0,186965.0,187047.0,0.064
1772370000,187283.5,190999.0,186220.0,190064.5,0.43100000000000005
1772373600,189896.5,191577.0,188567.0,189242.5,0.219
1772377200,189475.0,190278.5,189334.0,190081.5,0.6610000000000001
1772380800,188720.5,189372.0,185897.0,186308.0,0.468
1772384400,186321.0,186321.0,185317.0,186069.0,0.202
1772388000,185988.5,187835.5,185988.5,186452.0,0.17900000000000002
1772391600,186216.0,186216.0,184161.0,184161.0,0.019999999999999997
1772395200,183436.0,183436.0,180268.5,180403.5,0.009000000000000001
1772398800,180403.5,180403.5,180403.5,180403.5,0.0
1772402400,181316.0,182091.5,181316.0,182091.5,0.005
1772406000,181254.0,183396.5,181185.5,182816.5,0.023999999999999997
1772409600,183000.0,184954.5,183000.0,184914.5,0.029
1772413200,187144.0,187144.0,185038.0,185271.5,0.127
1772416800,185051.0,185051.0,183214.0,184397.5,0.10200000000000001
1772420400,183869.0,186430.5,183869.0,186430.5,0.11
1772424000,185834.5,186302.5,185664.0,185779.5,0.095
1772427600,185245.5,186366.0,185245.5,186210.0,0.077
1772431200,183468.0,183586.0,182867.0,182886.5,0.07500000000000001
1772434800,182297.0,182925.5,181354.0,182906.5,0.11
1772438400,181955.5,183178.5,181267.5,183178.5,0.085
1772442000,183152.5,184417.0,183152.5,183380.5,0.026000000000000002
1772445600,183745.0,183745.0,183123.5,183406.0,0.094
1772449200,183165.5,183408.5,182208.0,182928.5,0.049999999999999996
1772452800,183001.5,183001.5,181914.0,181914.0,2.885
1772456400,182066.5,182450.0,180970.0,181012.0,0.054000000000000006
1772460000,181520.0,186351.0,181503.0,185374.0,0.24200000000000002
1772463600,185978.0,193616.0,185867.5,192464.0,0.6699999999999999
1772467200,192582.5,195265.5,192283.5,194295.0,2.197
1772470800,193141.0,193666.5,190620.5,191664.0,1.1740000000000002
1772474400,191440.0,191440.0,190477.0,190477.0,0.812
1772478000,190398.5,191426.5,190398.5,191426.5,0.13
1772481600,190731.5,192364.0,190731.5,192048.5,0.007
1772485200,190979.0,191386.5,190979.0,191386.5,0.006
1772488800,192988.5,192995.0,192775.0,192966.0,0.019
1772492400,192159.5,192159.5,191126.0,191126.0,0.015
1772496000,191283.0,191283.0,191283.0,191283.0,0.002
1772499600,191275.0,191275.0,190410.0,190553.5,0.043000000000000003
1772503200,189459.5,189459.5,188039.5,189272.5,0.151
1772506800,189112.0,189112.0,188486.5,188491.5,0.193
1772510400,188681.5,188795.5,187602.5,187602.5,0.319
1772514000,187677.0,188820.5,186331.0,186331.0,0.663
1772517600,186930.0,187364.0,186609.0,187364.0,0.161
1772521200,187295.5,187819.0,187040.0,187172.0,0.30300000000000005
1772524800,186935.0,186935.0,183181.5,183181.5,0.10999999999999999
1772528400,183356.0,184149.5,182631.5,182963.5,0.078
1772532000,182748.0,184169.0,182709.0,183701.5,0.312
1772535600,183852.0,184307.0,183289.0,184214.0,0.047
1772539200,184011.5,185447.0,183967.0,184534.0,0.428
1772542800,184151.0,184151.0,182773.0,183060.0,0.13999999999999999
1772546400,183784.0,184162.5,181341.0,182714.0,0.05
1772550000,182285.5,184870.5,181690.5,184106.0,1.0599999999999998
1772553600,184628.0,188721.5,184628.0,186051.0,2.726
1772557200,185328.0,186152.0,184510.0,185947.0,0.29700000000000004
1772560800,186254.5,187317.5,185632.5,186525.0,0.20400000000000001
1772564400,186305.5,186739.5,185313.0,186130.5,0.5840000000000001
1772568000,186198.5,186198.5,186198.5,186198.5,0.001
1772571600,184221.0,184403.5,184221.0,184340.5,0.004
1772575200,184340.5,184340.5,184340.5,184340.5,0.0
1772578800,184340.5,184340.5,184340.5,184340.5,0.0
1772582400,184300.5,185314.0,184029.0,185314.0,0.041
1772586000,185576.5,186781.0,184636.0,185888.0,0.129
1772589600,184857.5,185638.0,184679.5,185425.5,0.032
1772593200,184684.5,185251.5,182311.5,182311.5,0.766
1772596800,183906.0,183906.0,182962.5,183550.5,0.132
1772600400,183725.5,185014.5,183725.5,184535.0,0.063
