time,open,high,low,close,volume
1771963200,1.3565,1.3628,1.3544,1.3577,535150
1771966800,1.3582,1.3582,1.349,1.3516,576649
1771970400,1.3507,1.3573,1.3495,1.3528,487173
1771974000,1.3521,1.354,1.3412,1.3479,533813
1771977600,1.348,1.3514,1.3404,1.3468,451706
1771981200,1.3464,1.3993,1.3454,1.386,1749808
1771984800,1.386,1.3941,1.378,1.3788,1081487
1771988400,1.3791,1.381,1.366,1.3696,1356928
1771992000,1.3695,1.3745,1.3588,1.3683,1329484
1771995600,1.368,1.3696,1.3523,1.358,1178362
1771999200,1.3581,1.3661,1.3566,1.3594,910391
1772002800,1.3595,1.3676,1.3581,1.3652,632183
1772006400,1.3654,1.3728,1.3623,1.3716,978769
1772010000,1.3717,1.3816,1.3714,1.3793,1563777
1772013600,1.3792,1.3835,1.3733,1.3749,1152139
1772017200,1.3748,1.3846,1.3719,1.383,1188443
1772020800,1.3828,1.4028,1.3805,1.3994,2125054
1772024400,1.3995,1.4239,1.398,1.4126,3133114
1772028000,1.413,1.4367,1.4127,1.4355,3013545
1772031600,1.4357,1.4453,1.4248,1.4405,2833726
1772035200,1.4405,1.4494,1.4374,1.4483,2553387
1772038800,1.448,1.4736,1.4454,1.4661,3928406
1772042400,1.4657,1.4763,1.4557,1.4716,2804163
1772046000,1.4716,1.4724,1.4533,1.4659,1688928
1772049600,1.4662,1.4708,1.4564,1.4632,1176017
1772053200,1.4638,1.4934,1.4624,1.4757,934710
1772056800,1.4761,1.4867,1.4437,1.4559,992400
1772060400,1.4544,1.4569,1.4185,1.4333,1432317
1772064000,1.4331,1.447,1.4265,1.4389,961734
1772067600,1.4384,1.4432,1.4227,1.4234,877060
1772071200,1.4236,1.4391,1.4178,1.4374,1597720
1772074800,1.4372,1.4449,1.4334,1.4412,1149612
1772078400,1.441,1.4684,1.4392,1.4583,2107987
1772082000,1.458,1.459,1.4395,1.4473,1674847
1772085600,1.4472,1.4546,1.4427,1.444,772903
1772089200,1.4431,1.4448,1.4299,1.4338,1004635
1772092800,1.4336,1.4441,1.4336,1.4356,930589
1772096400,1.4355,1.453,1.4341,1.4512,1149116
1772100000,1.4513,1.4562,1.4406,1.4421,1597097
1772103600,1.4423,1.445,1.434,1.4362,979075
1772107200,1.4364,1.4432,1.4351,1.4414,873198
1772110800,1.4412,1.4456,1.4357,1.4392,842045
1772114400,1.4395,1.4443,1.4218,1.4353,2237478
1772118000,1.4355,1.4356,1.4075,1.4207,2935102
1772121600,1.4206,1.4227,1.3852,1.3881,2628667
1772125200,1.3881,1.3981,1.3843,1.387,1744767
1772128800,1.387,1.3989,1.3821,1.3928,1771953
1772132400,1.3929,1.41,1.3925,1.4066,1308409
1772136000,1.4063,1.4121,1.3926,1.3934,829195
1772139600,1.3931,1.3966,1.3875,1.394,428093
1772143200,1.3932,1.4048,1.3931,1.4023,291679
1772146800,1.4019,1.4031,1.3962,1.4019,186407
1772150400,1.4018,1.4037,1.3925,1.4007,408097
1772154000,1.4017,1.4057,1.3955,1.4049,476985
1772157600,1.405,1.4126,1.4042,1.406,883937
1772161200,1.4062,1.4084,1.3994,1.4073,1154640
1772164800,1.4073,1.4211,1.4049,1.4073,1456064
1772168400,1.4074,1.4142,1.4061,1.4097,842777
1772172000,1.4095,1.4141,1.4032,1.4118,965977
1772175600,1.4116,1.4165,1.4051,1.4164,840711
1772179200,1.4164,1.423,1.4143,1.4209,1620747
1772182800,1.421,1.4255,1.4041,1.4058,1993236
1772186400,1.4057,1.4067,1.3861,1.3883,2256846
1772190000,1.3883,1.3962,1.3794,1.3818,2205274
1772193600,1.3813,1.3846,1.3725,1.377,2330243
1772197200,1.3768,1.3815,1.3625,1.37,2568172
1772200800,1.3696,1.3735,1.3565,1.3587,2151645
1772204400,1.3576,1.3656,1.3513,1.3561,2874704
1772208000,1.3559,1.3578,1.347,1.3501,1815207
1772211600,1.3506,1.3587,1.3374,1.3567,2931340
1772215200,1.3572,1.3632,1.352,1.3564,2266253
1772218800,1.3562,1.3564,1.3454,1.3498,1526347
1772222400,1.3501,1.3555,1.3494,1.352,515607
1772226000,1.3517,1.3555,1.3466,1.3502,300520
1772229600,1.3511,1.3548,1.3379,1.3533,535038
1772233200,1.3528,1.3558,1.3504,1.3554,365693
1772236800,1.3554,1.3624,1.3545,1.3616,550055
1772240400,1.3615,1.3643,1.356,1.358,571490
1772244000,1.3575,1.3622,1.3558,1.3607,386829
1772247600,1.3606,1.3609,1.3518,1.3542,675090
1772251200,1.3543,1.3573,1.3487,1.3532,977302
1772254800,1.3532,1.3552,1.3459,1.3488,890549
1772258400,1.3488,1.3508,1.2922,1.2957,4833444
1772262000,1.2953,1.3221,1.2891,1.302,3750108
1772265600,1.3016,1.3017,1.2824,1.2859,2470942
1772269200,1.2853,1.2884,1.271,1.2775,3195345
1772272800,1.2768,1.2936,1.2696,1.2889,2927210
1772276400,1.2889,1.306,1.2859,1.2922,2923897
1772280000,1.2925,1.2987,1.2909,1.2944,955108
1772283600,1.2948,1.3428,1.2938,1.3404,3216194
1772287200,1.3404,1.3492,1.3134,1.3175,3267954
1772290800,1.3177,1.3313,1.3102,1.3232,2262281
1772294400,1.3232,1.33,1.3164,1.3253,1624728
1772298000,1.3253,1.33,1.314,1.3277,1593704
1772301600,1.3278,1.3482,1.3219,1.3418,2602301
1772305200,1.3419,1.3585,1.3342,1.3535,2358229
1772308800,1.3533,1.3835,1.3498,1.3799,2507063
1772312400,1.381,1.3822,1.3654,1.376,1516370
1772316000,1.3776,1.392,1.3739,1.3798,1255441
1772319600,1.3796,1.3853,1.3732,1.3754,973453
1772323200,1.3754,1.3818,1.3714,1.3784,843750
1772326800,1.3771,1.4136,1.3649,1.402,1840840
1772330400,1.4025,1.4321,1.4025,1.4243,2359449
1772334000,1.4241,1.4328,1.4128,1.4182,1853299
1772337600,1.4185,1.4213,1.4042,1.4131,2117983
1772341200,1.4136,1.4184,1.4086,1.4091,1339857
1772344800,1.4088,1.4097,1.3882,1.3942,2716081
1772348400,1.394,1.4015,1.3925,1.3972,1211963
1772352000,1.3976,1.3997,1.3758,1.3797,1659047
1772355600,1.3797,1.3872,1.3693,1.3724,2017516
1772359200,1.372,1.3812,1.3662,1.3762,1731423
1772362800,1.3762,1.3816,1.3743,1.3755,1209613
1772366400,1.3756,1.3782,1.3666,1.3672,1398692
1772370000,1.3676,1.3956,1.361,1.3877,3212919
1772373600,1.3875,1.4028,1.3729,1.3804,3741312
1772377200,1.3799,1.3901,1.3763,1.378,1432355
1772380800,1.3785,1.3856,1.3587,1.3695,2455176
1772384400,1.369,1.3717,1.3558,1.3654,2073713
1772388000,1.3655,1.3781,1.3632,1.3673,1907314
1772391600,1.3678,1.3678,1.3534,1.356,1009068
1772395200,1.3553,1.3555,1.3365,1.3409,885234
1772398800,1.3424,1.3563,1.3411,1.3535,592979
1772402400,1.3534,1.3711,1.3407,1.3419,671377
1772406000,1.3414,1.358,1.3391,1.3517,229700
1772409600,1.3508,1.3719,1.3508,1.3647,626216
1772413200,1.3646,1.38,1.3627,1.3669,874299
1772416800,1.3675,1.3721,1.353,1.3636,1031999
1772420400,1.3635,1.3772,1.3603,1.3733,845334
1772424000,1.3734,1.3747,1.3641,1.3663,517312
1772427600,1.3663,1.3696,1.3573,1.3618,671538
1772431200,1.3619,1.3632,1.3466,1.3496,1075523
1772434800,1.3491,1.3505,1.3371,1.3462,1438749
1772438400,1.3462,1.3552,1.3376,1.3534,1120288
1772442000,1.3537,1.3621,1.3519,1.3527,1010257
1772445600,1.3524,1.355,1.3476,1.3529,811028
1772449200,1.3525,1.357,1.3456,1.3511,1068921
1772452800,1.3508,1.3535,1.3428,1.3471,833661
1772456400,1.3472,1.3497,1.3378,1.3388,1351414
1772460000,1.3388,1.3781,1.333,1.3724,4850185
1772463600,1.3724,1.4151,1.3685,1.4,6856892
1772467200,1.4,1.4224,1.3967,1.4067,4364716
1772470800,1.4069,1.4106,1.3828,1.3948,2407722
1772474400,1.3945,1.4067,1.3854,1.4,1610977
1772478000,1.4001,1.4046,1.389,1.4003,1050128
1772481600,1.4003,1.4047,1.3871,1.3938,719499
1772485200,1.3941,1.3979,1.3852,1.3974,740213
1772488800,1.3975,1.4061,1.3956,1.3974,282074
1772492400,1.4,1.4003,1.3871,1.3894,658339
1772496000,1.3897,1.3944,1.3812,1.3898,557139
1772499600,1.39,1.3946,1.3811,1.3829,417791
1772503200,1.3826,1.3834,1.3753,1.3779,1146953
1772506800,1.3778,1.3785,1.3673,1.3727,1214804
1772510400,1.3729,1.3742,1.3639,1.3658,1184999
1772514000,1.3658,1.3771,1.3609,1.3647,2010866
1772517600,1.3646,1.3666,1.3576,1.3605,1271762
1772521200,1.3604,1.3668,1.357,1.3631,1182149
1772524800,1.3632,1.3685,1.3464,1.3486,2361098
